mag,abundance,gs,con,time
SWH1,0.082287576,large,SWH,0 day
SWH2,0.08148221,large,SWH,0 day
SWH3,0.080404504,large,SWH,0 day
WH1804,0.110114517,large,High,3 day
WH2804,0.115278995,large,High,3 day
WH3804,0.116561531,large,High,3 day
WH1810,0.198803518,large,High,9 day
WH2810,0.148787747,large,High,9 day
WH3810,0.157358952,large,High,9 day
WH1817,0.323647147,large,High,15 day
WH2817,0.260714273,large,High,15 day
WH3817,0.24896089,large,High,15 day
WH1823,0.337859361,large,High,21 day
WH2823,0.280091684,large,High,21 day
WH3823,0.264374808,large,High,21 day
WH1902,0.356999892,large,High,30 day
WH2902,0.309319029,large,High,30 day
WH3902,0.274240252,large,High,30 day
WL1804,0.092450921,large,Low,3 day
WL2804,0.094063459,large,Low,3 day
WL3804,0.088010121,large,Low,3 day
WL1810,0.109987217,large,Low,9 day
WL2810,0.111924211,large,Low,9 day
WL3810,0.108202255,large,Low,9 day
WL1817,0.108631697,large,Low,15 day
WL2817,0.11239993,large,Low,15 day
WL3817,0.106953869,large,Low,15 day
WL1823,0.129527432,large,Low,21 day
WL2823,0.134692335,large,Low,21 day
WL3823,0.129482867,large,Low,21 day
WL1902,0.142266806,large,Low,30 day
WL2902,0.166519293,large,Low,30 day
WL3902,0.174818512,large,Low,30 day
WM1804,0.096503361,large,Medium,3 day
WM2804,0.093768417,large,Medium,3 day
WM3804,0.092884026,large,Medium,3 day
WM1810,0.105294856,large,Medium,9 day
WM2810,0.106385559,large,Medium,9 day
WM3810,0.10727197,large,Medium,9 day
WM1817,0.132367684,large,Medium,15 day
WM2817,0.136467608,large,Medium,15 day
WM3817,0.128537957,large,Medium,15 day
WM1823,0.159914859,large,Medium,21 day
WM2823,0.177548939,large,Medium,21 day
WM3823,0.155942787,large,Medium,21 day
WM1902,0.143787231,large,Medium,30 day
WM2902,0.18378025,large,Medium,30 day
WM3902,0.152307963,large,Medium,30 day
SWH1,0.274027299,small,SWH,0 day
SWH2,0.270208262,small,SWH,0 day
SWH3,0.272919357,small,SWH,0 day
WH1804,0.195176878,small,High,3 day
WH2804,0.18241249,small,High,3 day
WH3804,0.1832896,small,High,3 day
WH1810,0.181894771,small,High,9 day
WH2810,0.196865602,small,High,9 day
WH3810,0.202700022,small,High,9 day
WH1817,0.221038898,small,High,15 day
WH2817,0.233482862,small,High,15 day
WH3817,0.224489772,small,High,15 day
WH1823,0.213745286,small,High,21 day
WH2823,0.204978914,small,High,21 day
WH3823,0.185406005,small,High,21 day
WH1902,0.188465092,small,High,30 day
WH2902,0.224497975,small,High,30 day
WH3902,0.237614004,small,High,30 day
WL1804,0.25442477,small,Low,3 day
WL2804,0.25130073,small,Low,3 day
WL3804,0.259065,small,Low,3 day
WL1810,0.255835698,small,Low,9 day
WL2810,0.251762848,small,Low,9 day
WL3810,0.25861714,small,Low,9 day
WL1817,0.238054366,small,Low,15 day
WL2817,0.241698309,small,Low,15 day
WL3817,0.255977866,small,Low,15 day
WL1823,0.237043423,small,Low,21 day
WL2823,0.247522695,small,Low,21 day
WL3823,0.273803635,small,Low,21 day
WL1902,0.197321859,small,Low,30 day
WL2902,0.208099529,small,Low,30 day
WL3902,0.231818887,small,Low,30 day
WM1804,0.232103848,small,Medium,3 day
WM2804,0.235411595,small,Medium,3 day
WM3804,0.226077048,small,Medium,3 day
WM1810,0.238886433,small,Medium,9 day
WM2810,0.252236107,small,Medium,9 day
WM3810,0.241110892,small,Medium,9 day
WM1817,0.272611925,small,Medium,15 day
WM2817,0.255721712,small,Medium,15 day
WM3817,0.259937167,small,Medium,15 day
WM1823,0.236985334,small,Medium,21 day
WM2823,0.214410134,small,Medium,21 day
WM3823,0.23189376,small,Medium,21 day
WM1902,0.182123814,small,Medium,30 day
WM2902,0.175065156,small,Medium,30 day
WM3902,0.182709857,small,Medium,30 day
SWH1,0.643685125,medium,SWH,0 day
SWH2,0.648309528,medium,SWH,0 day
SWH3,0.646676139,medium,SWH,0 day
WH1804,0.694708605,medium,High,3 day
WH2804,0.702308515,medium,High,3 day
WH3804,0.700148869,medium,High,3 day
WH1810,0.619301711,medium,High,9 day
WH2810,0.654346651,medium,High,9 day
WH3810,0.639941026,medium,High,9 day
WH1817,0.455313955,medium,High,15 day
WH2817,0.505802865,medium,High,15 day
WH3817,0.526549338,medium,High,15 day
WH1823,0.448395353,medium,High,21 day
WH2823,0.514929402,medium,High,21 day
WH3823,0.550219187,medium,High,21 day
WH1902,0.454535016,medium,High,30 day
WH2902,0.466182996,medium,High,30 day
WH3902,0.488145744,medium,High,30 day
WL1804,0.653124309,medium,Low,3 day
WL2804,0.654635811,medium,Low,3 day
WL3804,0.652924879,medium,Low,3 day
WL1810,0.634177085,medium,Low,9 day
WL2810,0.636312941,medium,Low,9 day
WL3810,0.633180605,medium,Low,9 day
WL1817,0.653313937,medium,Low,15 day
WL2817,0.645901761,medium,Low,15 day
WL3817,0.637068265,medium,Low,15 day
WL1823,0.633429145,medium,Low,21 day
WL2823,0.61778497,medium,Low,21 day
WL3823,0.596713498,medium,Low,21 day
WL1902,0.660411335,medium,Low,30 day
WL2902,0.625381178,medium,Low,30 day
WL3902,0.593362601,medium,Low,30 day
WM1804,0.671392791,medium,Medium,3 day
WM2804,0.670819988,medium,Medium,3 day
WM3804,0.681038926,medium,Medium,3 day
WM1810,0.655818711,medium,Medium,9 day
WM2810,0.641378334,medium,Medium,9 day
WM3810,0.651617138,medium,Medium,9 day
WM1817,0.595020391,medium,Medium,15 day
WM2817,0.60781068,medium,Medium,15 day
WM3817,0.611524876,medium,Medium,15 day
WM1823,0.603099807,medium,Medium,21 day
WM2823,0.608040927,medium,Medium,21 day
WM3823,0.612163453,medium,Medium,21 day
WM1902,0.674088955,medium,Medium,30 day
WM2902,0.641154594,medium,Medium,30 day
WM3902,0.66498218,medium,Medium,30 day
